,imdb_rating,n_lines,n_directions,n_speak_char,Angela,Dwight,Jim,Kevin,Michael,Oscar,Pam,Phyllis,Ryan,Stanley,Kelly,Toby,Meredith,Darryl,Creed,Andy,Erin,Charles McDougall,Greg Daniels,Ken Kwapis,Ken Whittingham,Other_director,Paul Feig,B.J. Novak,Gene Stupnitsky;Lee Eisenberg,Greg Daniels,Michael Schur,Other_writer,Paul Lieberstein,pos_score,neg_score
13,8.2,273,30,14,5.0,42.0,26.0,4.0,103.0,1.0,30.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0.156,0.109
14,8.4,275,39,19,13.0,34.0,52.0,8.0,80.0,6.0,38.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0.21,0.081
15,8.8,283,42,20,9.0,42.0,27.0,11.0,87.0,8.0,17.0,5.0,15.0,5.0,8.0,3.0,10.0,11.0,4.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0.235,0.093
16,8.6,223,11,16,1.0,22.0,29.0,0.0,75.0,1.0,17.0,4.0,2.0,8.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0.197,0.062
17,9.0,361,43,17,5.0,59.0,55.0,2.0,124.0,3.0,56.0,3.0,13.0,4.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.187,0.114
18,8.3,262,21,16,5.0,38.0,50.0,8.0,92.0,9.0,27.0,0.0,7.0,3.0,5.0,3.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.195,0.103
19,7.9,261,67,21,2.0,25.0,27.0,7.0,101.0,5.0,27.0,1.0,13.0,2.0,10.0,1.0,0.0,3.0,9.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0.185,0.116
20,8.2,281,20,21,5.0,12.0,22.0,3.0,76.0,0.0,26.0,9.0,2.0,1.0,9.0,0.0,5.0,27.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0.178,0.091
21,8.3,198,50,18,4.0,19.0,16.0,5.0,45.0,2.0,23.0,3.0,4.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0.235,0.089
22,8.4,206,27,16,4.0,49.0,35.0,4.0,52.0,3.0,19.0,4.0,7.0,5.0,5.0,4.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0.173,0.079
23,8.3,264,52,25,4.0,23.0,17.0,5.0,77.0,1.0,21.0,0.0,10.0,6.0,6.0,13.0,2.0,1.0,4.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.207,0.083
24,8.1,248,47,19,12.0,43.0,22.0,14.0,87.0,7.0,26.0,2.0,3.0,3.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0.229,0.1
25,8.4,213,33,15,5.0,70.0,19.0,5.0,50.0,6.0,15.0,3.0,7.0,6.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0.166,0.101
26,8.7,257,55,17,12.0,33.0,28.0,3.0,88.0,9.0,24.0,12.0,4.0,4.0,2.0,22.0,0.0,0.0,3.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0.17,0.112
27,9.3,368,28,23,5.0,31.0,52.0,16.0,94.0,4.0,44.0,7.0,1.0,1.0,1.0,4.0,1.0,8.0,4.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0.283,0.058
